ID,Title,Difficulty,Category,Company Count,Companies,LeetCode Link,Topics
1,Best Time to Buy and Sell Stock,EASY,Array,38,Adobe | Amazon | Apple | Atlassian | BlackRock | Bloomberg | ByteDance | Cisco | Citadel | DEShaw | Deolite | Flipkart | Goldman Sachs | Google | IBM | Intel | Intuit | JP Morgan | Linkedln | Meta | Microsoft | Morgan Stanley | NVIDIA | Netflix | Ola | Oracle | Palantir | PayPal | Salesforce | ServiceNow | Snap | Snowflake | Swiggy | Tesla | Uber | Visa | Walmart | Yahoo,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
2,Two Sum,EASY,Array,30,Adobe | Amazon | Apple | Atlassian | Bloomberg | ByteDance | Cisco | Deolite | Flipkart | Goldman Sachs | Google | IBM | Intel | Intuit | JP Morgan | Linkedln | Meta | Microsoft | Morgan Stanley | NVIDIA | Oracle | PayPal | Qualcomm | ServiceNow | Snowflake | Spotify | Uber | Visa | Walmart | Yahoo,https://leetcode.com/problems/two-sum,"Array, Hash Table"
3,Merge Sorted Array,EASY,Array,24,Adobe | Amazon | Apple | Atlassian | Bloomberg | ByteDance | Cisco | Goldman Sachs | Google | IBM | Intel | Linkedln | Meta | Microsoft | NVIDIA | Netflix | Oracle | PayPal | Qualcomm | ServiceNow | Swiggy | Uber | Walmart | Yahoo,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
4,Majority Element,EASY,Array,16,Adobe | Amazon | Bloomberg | DEShaw | Deolite | Flipkart | Google | IBM | Meta | Microsoft | NVIDIA | Oracle | Qualcomm | Salesforce | Swiggy | Yahoo,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
5,Move Zeroes,EASY,Array,15,Amazon | Apple | Bloomberg | Cisco | Goldman Sachs | Google | Intuit | Meta | Microsoft | NVIDIA | Oracle | Salesforce | ServiceNow | Tesla | Walmart,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
6,Remove Duplicates from Sorted Array,EASY,Array,15,Adobe | Amazon | Apple | Bloomberg | Cisco | Flipkart | Google | IBM | Meta | Microsoft | Morgan Stanley | Oracle | Qualcomm | Uber | Yahoo,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
7,Pascal's Triangle,EASY,Array,13,Amazon | Apple | Bloomberg | Cisco | Deolite | Goldman Sachs | Google | JP Morgan | Meta | Oracle | Twitter | Uber | Yahoo,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
8,Plus One,EASY,Array,11,Adobe | Amazon | Apple | Bloomberg | Google | Intuit | Meta | Microsoft | Uber | Visa | Yahoo,https://leetcode.com/problems/plus-one,"Array, Math"
9,Contains Duplicate,EASY,Array,10,Amazon | Bloomberg | DEShaw | Google | JP Morgan | Meta | Microsoft | Netflix | Palantir | Visa,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
10,Missing Number,EASY,Array,9,Amazon | Apple | Bloomberg | Cisco | Goldman Sachs | Google | Microsoft | NVIDIA | Tesla,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
