Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Happy Number,100.0,0.580726470983853,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Two Sum,100.0,0.5577700301156799,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Calculate Amount Paid in Taxes,87.0,0.6755645366418902,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
EASY,Count Vowel Substrings of a String,67.7,0.7148136172571481,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
EASY,Design HashMap,65.3,0.658939347368503,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Merge Two Sorted Lists,60.1,0.6684090455626255,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Leaf-Similar Trees,48.9,0.7010504082999663,https://leetcode.com/problems/leaf-similar-trees,"Tree, Depth-First Search, Binary Tree"
EASY,Best Time to Buy and Sell Stock,39.6,0.5525962294861477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Reverse Only Letters,39.6,0.6683340514041327,https://leetcode.com/problems/reverse-only-letters,"Two Pointers, String"
EASY,Roman to Integer,39.6,0.6486630367350482,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Valid Word Abbreviation,39.6,0.3685158269018032,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
MEDIUM,Copy List with Random Pointer,100.0,0.6053673680169267,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Find All Anagrams in a String,100.0,0.5220071349201708,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Max Area of Island,100.0,0.7316419811417654,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Throne Inheritance,100.0,0.6509835499827448,https://leetcode.com/problems/throne-inheritance,"Hash Table, Tree, Depth-First Search, Design"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,96.4,0.5630838477366256,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
