Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Happy Number,89.4,0.580726470983853,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Pascal's Triangle,89.4,0.7702154627018639,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Time Needed to Buy Tickets,89.4,0.7070562661984784,https://leetcode.com/problems/time-needed-to-buy-tickets,"Array, Queue, Simulation"
EASY,Reverse Linked List,89.4,0.7920657527486747,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Valid Parentheses,89.4,0.4232284155019281,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Customer Placing the Largest Number of Orders,89.4,0.6436460880860977,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,Database
EASY,Invalid Tweets,89.4,0.8551270155011662,https://leetcode.com/problems/invalid-tweets,Database
EASY,Binary Gap,89.4,0.6465506874574097,https://leetcode.com/problems/binary-gap,Bit Manipulation
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5499189489424546,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Flatten Nested List Iterator,96.3,0.6522839525510098,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Design Twitter,94.2,0.4265238051053148,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
MEDIUM,Tweet Counts Per Frequency,94.2,0.4527819680101729,https://leetcode.com/problems/tweet-counts-per-frequency,"Hash Table, Binary Search, Design, Sorting, Ordered Set"
MEDIUM,Merge Intervals,94.2,0.4939523867784192,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Implement Trie (Prefix Tree),94.2,0.6793476066937868,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,LRU Cache,91.9,0.4521466908978712,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Investments in 2016,91.9,0.5013112456137093,https://leetcode.com/problems/investments-in-2016,Database
MEDIUM,Multiply Strings,89.4,0.4228943914738829,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,One Edit Distance,89.4,0.3447764427992029,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,89.4,0.6831072582646219,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Flatten 2D Vector,89.4,0.5013507420966259,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
MEDIUM,Number of Connected Components in an Undirected Graph,89.4,0.6420110092713132,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Integer to Roman,89.4,0.6861928350336115,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,89.4,0.8215204393310427,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Kth Smallest Element in a Sorted Matrix,89.4,0.6356660329525441,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,Validate IP Address,89.4,0.2781752462045336,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Count Student Number in Departments,89.4,0.5975410298347527,https://leetcode.com/problems/count-student-number-in-departments,Database
MEDIUM,Rectangles Area,89.4,0.6868475237510385,https://leetcode.com/problems/rectangles-area,Database
MEDIUM,Tree Node,89.4,0.7387169555898169,https://leetcode.com/problems/tree-node,Database
MEDIUM,Number of Black Blocks,89.4,0.3861732264480743,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Masking Personal Information,89.4,0.5051515216968702,https://leetcode.com/problems/masking-personal-information,String
MEDIUM,Design Authentication Manager,89.4,0.5785482426684576,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Elements to Add to Form a Given Sum,89.4,0.443350542994481,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum,"Array, Greedy"
MEDIUM,Finding the Users Active Minutes,89.4,0.804561225875758,https://leetcode.com/problems/finding-the-users-active-minutes,"Array, Hash Table"
