Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Last Stone Weight,100.0,0.6592869343167317,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
EASY,Best Time to Buy and Sell Stock,82.0,0.552596541931788,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,80.1,0.557769930567234,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Reverse Bits,75.8,0.6320549868777902,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
EASY,Missing Number,72.6,0.7006535616405187,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Valid Parentheses,70.6,0.4232282382087554,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Move Zeroes,69.5,0.6280402658363383,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Linked List Cycle,66.0,0.5257064137920662,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Fibonacci Number,65.9,0.7294492834410619,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Climbing Stairs,59.6,0.5354072335656744,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Intersection of Two Linked Lists,56.6,0.6112536319835228,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
EASY,Counting Bits,49.9,0.7972033009877719,https://leetcode.com/problems/counting-bits,"Dynamic Programming, Bit Manipulation"
EASY,Design HashMap,49.9,0.6589390156242249,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Find Pivot Index,49.9,0.6057028214719556,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Intersection of Two Arrays,49.9,0.7647430672399825,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Majority Element,49.9,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Merge Sorted Array,49.9,0.5291952521829845,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Number of 1 Bits,49.9,0.7450469043692017,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
EASY,Reverse Linked List,49.9,0.7920654429390916,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Longest Common Prefix,47.7,0.4548305774598658,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Fizz Buzz,40.7,0.7437056010578238,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Greatest Common Divisor of Strings,40.7,0.5272393278503121,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
EASY,Is Subsequence,40.7,0.4838262049972864,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Print in Order,40.7,0.7158816436054449,https://leetcode.com/problems/print-in-order,Concurrency
EASY,Rectangle Overlap,40.7,0.4574464867540109,https://leetcode.com/problems/rectangle-overlap,"Math, Geometry"
EASY,Remove Duplicates from Sorted List,40.7,0.5487084146151159,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
EASY,Single Number,40.7,0.759688387220078,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Sqrt(x),40.7,0.4037181467115527,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Add Two Numbers,100.0,0.4622508143957371,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Maximize Greatness of an Array,100.0,0.5864617466875623,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Maximum Subarray,100.0,0.5209977640581438,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,95.8,0.4283721632586699,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Rotate List,90.9,0.3994476663735721,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,LRU Cache,89.6,0.4521457621314454,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Product of Array Except Self,89.6,0.6777995792305304,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Group Anagrams,86.8,0.7092882008000586,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Minimum Operations to Reduce an Integer to 0,85.3,0.5730954555475073,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,4Sum,84.8,0.3821900891354193,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,80.1,0.3693616778786302,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,78.0,0.6231992538801062,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Unique Paths II,77.0,0.4315436982936257,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Asteroid Collision,76.7,0.455006598482349,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Clone Graph,76.7,0.6238568889371842,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Dot Product of Two Sparse Vectors,70.6,0.8993424664218707,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
MEDIUM,Merge Intervals,67.4,0.4939526038842514,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Task Scheduler II,67.4,0.5397256916203358,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
MEDIUM,Container With Most Water,66.0,0.5778283165036205,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Daily Temperatures,66.0,0.673649951600241,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Largest Number,66.0,0.412803811932624,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Spiral Matrix,66.0,0.5393976057408939,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,String to Integer (atoi),66.0,0.1922941794548009,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Subarray Sum Equals K,66.0,0.4547620606469613,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Rotate Image,65.9,0.7790165261990751,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Copy List with Random Pointer,63.8,0.6053669280147949,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Find the Duplicate Number,61.7,0.6283577384693005,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Break a Palindrome,59.6,0.515441720680916,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
MEDIUM,Generate Parentheses,59.6,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Insert Delete GetRandom O(1),59.6,0.54991878709743,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Kth Largest Element in an Array,59.6,0.6797700029167107,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Rectangle Area,59.6,0.4737387162244031,https://leetcode.com/problems/rectangle-area,"Math, Geometry"
MEDIUM,H-Index,56.6,0.4028674756036987,https://leetcode.com/problems/h-index,"Array, Sorting, Counting Sort"
