Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Contains Duplicate II,80.6,0.4904995537469206,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Range Sum Query - Immutable,80.6,0.6854763152086079,https://leetcode.com/problems/range-sum-query-immutable,"Array, Design, Prefix Sum"
EASY,Check If It Is a Straight Line,78.7,0.3970230609133101,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
EASY,Contains Duplicate,78.7,0.6323637919991744,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Single Number,78.7,0.7596886320417466,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Best Time to Buy and Sell Stock,57.4,0.5525962294861477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Flood Fill,57.4,0.6647640296665365,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Find Beautiful Indices in the Given Array I,100.0,0.3843060775054507,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
MEDIUM,Merge Intervals,89.1,0.4939523131783485,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Minimum Time Difference,82.4,0.6235324529015283,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
MEDIUM,LRU Cache,80.6,0.4521466908978712,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Size Subarray Sum Equals k,78.7,0.5060333232817832,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Construct Quad Tree,73.1,0.7711755516320173,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,Count the Number of Good Subsequences,72.6,0.505726872246696,https://leetcode.com/problems/count-the-number-of-good-subsequences,"Hash Table, Math, String, Combinatorics, Counting"
MEDIUM,Shortest Word Distance III,72.6,0.5910015691072046,https://leetcode.com/problems/shortest-word-distance-iii,"Array, String"
MEDIUM,Find Players With Zero or One Losses,66.6,0.7259675342193808,https://leetcode.com/problems/find-players-with-zero-or-one-losses,"Array, Hash Table, Sorting, Counting"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,66.6,0.5016214325632321,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
MEDIUM,Accounts Merge,57.4,0.5958001410459624,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,All Ancestors of a Node in a Directed Acyclic Graph,57.4,0.6189030152589998,https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Number of Divisible Triplet Sums,57.4,0.6780637725701113,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,Number of Islands,57.4,0.6232001770811916,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Daily Temperatures,45.4,0.6736502832589849,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Sort List,45.4,0.618074922962942,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
HARD,Integer to English Words,98.2,0.3435478950195029,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Find Beautiful Indices in the Given Array II,96.2,0.264520327554728,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
HARD,Merge k Sorted Lists,82.4,0.5677423948386318,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Contains Duplicate III,78.7,0.236334246913539,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
HARD,Selling Pieces of Wood,78.7,0.5154615647940359,https://leetcode.com/problems/selling-pieces-of-wood,"Array, Dynamic Programming, Memoization"
HARD,Trapping Rain Water II,57.4,0.588762524838287,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
