Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Sort Integers by The Number of 1 Bits,100.0,0.7868399685247711,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
EASY,Check Whether Two Strings are Almost Equivalent,83.4,0.6364656307145949,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,"Hash Table, String, Counting"
EASY,Minimum Absolute Difference,82.9,0.7065237783248814,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Maximum Product of Two Elements in an Array,81.8,0.8322491861778356,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
EASY,Best Time to Buy and Sell Stock,76.0,0.552596290131516,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Determine Color of a Chessboard Square,74.3,0.7932834456061206,https://leetcode.com/problems/determine-color-of-a-chessboard-square,"Math, String"
EASY,Button with Longest Push Time,71.3,0.4059366074012558,https://leetcode.com/problems/button-with-longest-push-time,Array
EASY,Lexicographically Smallest String After a Swap,70.4,0.5366232121180134,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap,"String, Greedy"
EASY,Valid Parentheses,70.4,0.4232283891861154,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Check if Number Has Equal Digit Count and Digit Value,70.4,0.7244297819277936,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value,"Hash Table, String, Counting"
EASY,Find Resultant Array After Removing Anagrams,68.1,0.5947293118567407,https://leetcode.com/problems/find-resultant-array-after-removing-anagrams,"Array, Hash Table, String, Sorting"
EASY,Count Binary Substrings,65.0,0.659166376012681,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
EASY,Intersection of Two Arrays,60.7,0.7647431845238689,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Happy Number,59.5,0.5807265703754434,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
